Vendor,Name,Serial,KeyIdentifier,NotBefore,NotAfter,SHA1,SHA256
Mozilla,"CN=UCA Extended Validation Root,O=UniTrust,C=CN",4FD22B8FF564C8339E4F345866237060,D9743AE4303D0DF712DC7E5A059F1E349AF7E114,2015-03-13T00:00:00Z,2038-12-31T00:00:00Z,A3A1B06F2461234AE336A5C237FCA6FFDDF0D73A,D43AF9B35473755C9684FC06D7D8CB70EE5C28E773FB294EB41EE71722924D24
Mozilla,"CN=GlobalSign Root E46,O=GlobalSign nv-sa,C=BE",11D2BBBA336ED4BCE62468C50D841D98E843,310A908FB6C69DD2444B80B5A2E61FB1124F1B95,2019-03-20T00:00:00Z,2046-03-20T00:00:00Z,39B46CD5FE8006EBE22F4ABB0833A0AFDBB9DD84,CBB9C44D84B8043E1050EA31A69F514955D7BFD2E2C6B49301019AD61D9F5058
Mozilla,"CN=GlobalSign,OU=GlobalSign Root CA - R3,O=GlobalSign",04000000000121585308A2,8FF04B7FA82E4524AE4D50FA639A8BDEE2DD1BBC,2009-03-18T10:00:00Z,2029-03-18T10:00:00Z,D69B561148F01C77C54578C10926DF5B856976AD,CBB522D7B7F127AD6A0113865BDF1CD4102E7D0759AF635A7CF4720DC963C53B
Mozilla,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",033AF1E6A711A9A0BB2864B11D09FAE5,4E2254201895E6E36EE60FFAFAB912ED06178F39,2013-08-01T12:00:00Z,2038-01-15T12:00:00Z,DF3C24F9BFD666761B268073FE06D1CC8D4F82A4,CB3CCBB76031E5E0138F8DD39A23F9DE47FFC35E43C1144CEA27D46A5AB1CB5F
Mozilla,"CN=Sectigo Public Server Authentication Root E46,O=Sectigo Limited,C=GB",42F2CCDA1B6937445F15FE752810B8F4,D122DA4C59F14B5F2638AA9DD6EEEB0DC3FBA961,2021-03-22T00:00:00Z,2046-03-21T23:59:59Z,EC8A396C40F02EBC4275D49FAB1C1A5B67BED29A,C90F26F0FB1B4018B22227519B5CA2B53E2CA5B3BE5CF18EFE1BEF47380C5383
Mozilla,"CN=Microsoft RSA Root Certificate Authority 2017,O=Microsoft Corporation,C=US",1ED397095FD8B4B347701EAABE7F45B3,09CB597F86B2708F1AC339E3C0D9E9BFBB4DB223,2019-12-18T22:51:22Z,2042-07-18T23:00:23Z,73A5E64A3BFF8316FF0EDCCC618A906E4EAE4D74,C741F70F4B2A8D88BF2E71C14122EF53EF10EBA0CFA5E64CFA20F418853073E0
Mozilla,"CN=SSL.com TLS ECC Root CA 2022,O=SSL Corporation,C=US",1403F5ABFB378B17405BE243B2A5D1C4,898F2FA3E82BA014547BF356B8265F67380B9CD0,2022-08-25T16:33:48Z,2046-08-19T16:33:47Z,9F5FD91A546DF50C71F0EE7ABD1749988473E239,C32FFD9F46F936D16C3673990959434B9AD60AAFBB9E7CF33654F144CC1BA143
Mozilla,"OU=ePKI Root Certification Authority,O=Chunghwa Telecom Co.\, Ltd.,C=TW",15C8BD65475CAFB897005EE406D2BC9D,1E0CF7B667F2E192260945C055392E773F424AA2,2004-12-20T02:31:27Z,2034-12-20T02:31:27Z,67650DF17E8E7E5B8240A4F4564BCFE23D69C6F0,C0A6F4DC63A24BFDCF54EF2A6A082A0A72DE35803E2FF5FF527AE5D87206DFD5
Mozilla,"CN=GDCA TrustAUTH R5 ROOT,O=GUANG DONG CERTIFICATE AUTHORITY CO.\,LTD.,C=CN",7D0997FEF047EA7A,E2C9409F4DCEE89AA17CCF0E3F65C529886A1951,2014-11-26T05:13:15Z,2040-12-31T15:59:59Z,0F36385B811A25C39B314E83CAE9346670CC74B4,BFFF8FD04433487D6A8AA60C1A29767A9FC2BBB05E420F713A13B992891D3893
Mozilla,"CN=TWCA Root Certification Authority,OU=Root CA,O=TAIWAN-CA,C=TW",01,6A385B268DDE8B5AF24F7A54831918E30835A6BA,2008-08-28T07:24:33Z,2030-12-31T15:59:59Z,CF9E876DD3EBFC422697A3B5A37AA076A9062348,BFD88FE1101C41AE3E801BF8BE56350EE9BAD1A6B9BD515EDC5C6D5B8711AC44
Mozilla,"CN=FIRMAPROFESIONAL CA ROOT-A WEB,O=Firmaprofesional SA,C=ES",319721EDAF89427F354187A167564C6D,93E143635C3C9DD627F352EC17B2A9AF2CF776F8,2022-04-06T09:01:36Z,2047-03-31T09:01:36Z,A8311174A614150DCA77DD0EE40C5D58FCA072A5,BEF256DAF26E9C69BDEC1602359798F3CAF71821A03E018257C53C65617F3D4A
Mozilla,"CN=e-Szigno Root CA 2017,O=Microsec Ltd.,L=Budapest,C=HU",015448EF21FD97590DF5040A,87111508D1AAC1780CB1AFCEC6C990EFBF3004C0,2017-08-22T12:07:06Z,2042-08-22T12:07:06Z,89D483034F9E9A48805F7237D4A9A6EFCB7C1FD1,BEB00B30839B9BC32C32E4447905950641F26421B15ED089198B518AE2EA1B99
